Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
SAFRA - PRUDENCIAL;1.000.080.109;b1;C;2;S2;SAO PAULO;SP;03/2026;42.241.242;129.777;1.103.166;2.579.939;3.813.266;1.499.105;869.909;0;9.995.162;14.315;798.145;1.471.739;1.675.630;293.644;35.692;22;4.289.187;204.927;3.364.664;8.529.279;11.652.001;2.123.964;7.487;0;25.882.323;935;9.271;26.066;66.311;62.913;227.371;163.256;556.124;40.170;693.996;297.923;20.820;2.940;0;0;1.055.848;224;48.502;62.373;67.443;10.099;0;0;188.641;54.545;144.216;11.886;16.318;0;636;0;227.600;46.355
MERCADO PAGO IP - PRUDENCIAL;1.000.084.820;n1;C;3;S3;OSASCO;SP;03/2026;40.490.337;0;0;0;0;0;0;0;0;2.185.125;4.515.679;4.881.741;834.023;141;0;0;12.416.709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.187.704;14.463.136;8.360.428;986.036;35;0;0;27.997.341;0;0;0;0;0;0;0;0;24.547;32.339;18.463;938;0;0;0;76.287;0
INTER - PRUDENCIAL;1.000.080.996;b1;C;2;S3;BELO HORIZONTE;MG;03/2026;40.229.971;93.941;874.219;2.030.473;2.699.852;1.125.985;820.189;12;7.644.671;82.168;621.151;1.307.103;1.734.869;615.405;320.624;805;4.682.124;118;4.174;11.263;18.122;3.855;12;0;37.544;18.532;172.153;342.435;901.813;871.585;3.923.604;2.914.053;9.144.175;1.872.720;9.763.261;2.959.854;116.387;3.086;671;99;14.716.079;0;8.967;53.949;4.247;505;0;0;67.667;110.897;245.618;326.901;395.913;409.832;2.214.537;154.738;3.858.436;79.275
BCO COOPERATIVO SICREDI - PRUDENCIAL;1.000.080.745;b1;C;2;S2;PORTO ALEGRE;RS;03/2026;38.221.885;0;170.995;445.068;723.954;281.687;99.771;0;1.721.474;0;8;21;40;0;0;0;68;0;4.377;13.716;29.229;15.170;1.074;0;63.566;0;102.865;293.616;651.775;507.950;1.238.426;331.286;3.125.919;0;0;0;0;0;0;0;0;0;1.663.998;5.774.679;12.004.814;7.366.913;5.204.293;0;32.014.697;2.080;83.729;247.972;480.401;305.506;176.473;0;1.296.161;0
AGIBANK - PRUDENCIAL;1.000.083.694;b1;C;3;S3;CAMPINAS;SP;03/2026;34.552.043;259.325;1.215.448;2.417.842;6.767.384;6.896.932;8.619.767;0;26.176.698;277.483;1.067.310;1.809.778;2.359.591;195.991;103.189;0;5.813.342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81.701;200.132;181.629;669.688;922.156;485.647;0;2.540.952;0;0;0;0;0;0;0;0;1;2;0;0;0;21.048;0;21.051;0
VOLKSWAGEN - PRUDENCIAL;1.000.080.202;b2;C;3;S3;SAO PAULO;SP;03/2026;30.351.954;2.956;5.976;14.777;19.107;3.567;6;0;46.388;14.557;5.041;12.978;19.000;2.884;10;0;54.470;433.513;3.746.648;9.570.935;13.699.560;2.789.877;10.563;0;30.251.095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB - PRUDENCIAL;1.000.080.879;b1;C;2;S2;BRASILIA;DF;03/2026;28.283.643;17.556;237.643;609.459;1.310.581;804.288;423.462;0;3.402.987;9.501;40.208;100.536;174.405;63.955;16.997;0;405.602;0;439;1.842;5.438;4.742;173;0;12.633;3.156;45.184;126.220;286.629;224.698;559.897;156.521;1.402.304;142.118;2.019.552;9.446.891;515.428;0;0;0;12.123.990;0;275.011;1.443.002;3.289.483;2.825.888;3.081.977;0;10.915.362;47;2.034;3.589;6.207;5.189;3.699;0;20.764;0
PICPAY - PRUDENCIAL;1.000.088.022;b1;C;2;S3;SAO PAULO;SP;03/2026;26.404.726;180.033;945.762;2.386.453;2.521.162;848.439;393.579;0;7.275.427;49.239;1.523.801;2.016.774;2.306.223;761.103;296.297;0;6.953.435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503.093;5.168.300;1.759.084;295.509;6.830;18.325;0;7.751.142;0;0;0;0;0;0;0;0;1.565.409;641.988;1.223.576;904.501;88.789;459;0;4.424.722;0
BCO CSF S.A. - PRUDENCIAL;1.000.081.610;b2;I;2;S3;SAO PAULO;SP;03/2026;25.856.306;57;3.818;9.429;14.057;5.666;2.933;0;35.960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.541.617;11.969.465;5.863.848;1.445.059;349;7;0;25.820.346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1.000.081.555;b1;I;3;S3;SAO PAULO;SP;03/2026;25.046.859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.405;170.720;570.939;649.584;408.382;373.965;483;2.219.479;575.341;2.950.777;6.844.223;6.984.051;3.711.853;1.757.353;3.782;22.827.380;0
